province_territory,study_level,total_flag,year_month,year,month,value
Newfoundland and Labrador,Secondary or less,False,2015-01,2015,1,15
Newfoundland and Labrador,Post Secondary,False,2015-01,2015,1,80
Newfoundland and Labrador,Other Studies,False,2015-01,2015,1,5
Newfoundland and Labrador,Education level not stated,False,2015-01,2015,1,0
Newfoundland and Labrador,,True,2015-01,2015,1,100
Prince Edward Island,Secondary or less,False,2015-01,2015,1,15
Prince Edward Island,Post Secondary,False,2015-01,2015,1,25
Prince Edward Island,Other Studies,False,2015-01,2015,1,2
Prince Edward Island,Education level not stated,False,2015-01,2015,1,0
Prince Edward Island,,True,2015-01,2015,1,45
Nova Scotia,Secondary or less,False,2015-01,2015,1,110
Nova Scotia,Post Secondary,False,2015-01,2015,1,250
Nova Scotia,Other Studies,False,2015-01,2015,1,95
Nova Scotia,Education level not stated,False,2015-01,2015,1,0
Nova Scotia,,True,2015-01,2015,1,455
New Brunswick,Secondary or less,False,2015-01,2015,1,55
New Brunswick,Post Secondary,False,2015-01,2015,1,130
New Brunswick,Other Studies,False,2015-01,2015,1,5
New Brunswick,Education level not stated,False,2015-01,2015,1,0
New Brunswick,,True,2015-01,2015,1,190
Quebec,Secondary or less,False,2015-01,2015,1,120
Quebec,Post Secondary,False,2015-01,2015,1,1730
Quebec,Other Studies,False,2015-01,2015,1,265
Quebec,Education level not stated,False,2015-01,2015,1,2
Quebec,,True,2015-01,2015,1,2120
Ontario,Secondary or less,False,2015-01,2015,1,1735
Ontario,Post Secondary,False,2015-01,2015,1,2830
Ontario,Other Studies,False,2015-01,2015,1,900
Ontario,Education level not stated,False,2015-01,2015,1,5
Ontario,,True,2015-01,2015,1,5470
Manitoba,Secondary or less,False,2015-01,2015,1,95
Manitoba,Post Secondary,False,2015-01,2015,1,305
Manitoba,Other Studies,False,2015-01,2015,1,50
Manitoba,Education level not stated,False,2015-01,2015,1,0
Manitoba,,True,2015-01,2015,1,450
Saskatchewan,Secondary or less,False,2015-01,2015,1,80
Saskatchewan,Post Secondary,False,2015-01,2015,1,130
Saskatchewan,Other Studies,False,2015-01,2015,1,15
Saskatchewan,Education level not stated,False,2015-01,2015,1,0
Saskatchewan,,True,2015-01,2015,1,220
Alberta,Secondary or less,False,2015-01,2015,1,370
Alberta,Post Secondary,False,2015-01,2015,1,410
Alberta,Other Studies,False,2015-01,2015,1,125
Alberta,Education level not stated,False,2015-01,2015,1,2
Alberta,,True,2015-01,2015,1,900
British Columbia,Secondary or less,False,2015-01,2015,1,1285
British Columbia,Post Secondary,False,2015-01,2015,1,1440
British Columbia,Other Studies,False,2015-01,2015,1,865
British Columbia,Education level not stated,False,2015-01,2015,1,2
British Columbia,,True,2015-01,2015,1,3590
Yukon,Secondary or less,False,2015-01,2015,1,0
Yukon,Post Secondary,False,2015-01,2015,1,2
Yukon,Other Studies,False,2015-01,2015,1,0
Yukon,Education level not stated,False,2015-01,2015,1,0
Yukon,,True,2015-01,2015,1,2
Northwest Territories,Secondary or less,False,2015-01,2015,1,2
Northwest Territories,Post Secondary,False,2015-01,2015,1,2
Northwest Territories,Other Studies,False,2015-01,2015,1,0
Northwest Territories,,True,2015-01,2015,1,2
Nunavut,Secondary or less,False,2015-01,2015,1,0
Nunavut,Post Secondary,False,2015-01,2015,1,0
Nunavut,Other Studies,False,2015-01,2015,1,0
Nunavut,,True,2015-01,2015,1,0
Province/territory not stated Total,,False,2015-01,2015,1,0
Total,,True,2015-01,2015,1,13520
Newfoundland and Labrador,Secondary or less,False,2015-02,2015,2,15
Newfoundland and Labrador,Post Secondary,False,2015-02,2015,2,55
Newfoundland and Labrador,Other Studies,False,2015-02,2015,2,2
Newfoundland and Labrador,Education level not stated,False,2015-02,2015,2,2
Newfoundland and Labrador,,True,2015-02,2015,2,70
Prince Edward Island,Secondary or less,False,2015-02,2015,2,25
Prince Edward Island,Post Secondary,False,2015-02,2015,2,15
Prince Edward Island,Other Studies,False,2015-02,2015,2,5
Prince Edward Island,Education level not stated,False,2015-02,2015,2,0
Prince Edward Island,,True,2015-02,2015,2,45
Nova Scotia,Secondary or less,False,2015-02,2015,2,45
Nova Scotia,Post Secondary,False,2015-02,2015,2,160
Nova Scotia,Other Studies,False,2015-02,2015,2,85
Nova Scotia,Education level not stated,False,2015-02,2015,2,0
