stream,year,value
asylum,2015,16047
asylum,2016,23845
asylum,2017,50312
asylum,2018,54978
asylum,2019,64033
asylum,2020,23662
asylum,2021,24855
asylum,2022,91605
asylum,2023,143286
asylum,2024,171784
asylum,2025,69811
hc,2015,17923
hc,2016,22444
hc,2017,39533
hc,2018,53410
hc,2019,64081
hc,2020,49297
hc,2021,52047
hc,2022,76979
hc,2023,132636
hc,2024,189327
hc,2025,100611
tfw,2000,22465
tfw,2001,26127
tfw,2002,29203
tfw,2003,33964
tfw,2004,37156
tfw,2005,43306
tfw,2006,53936
tfw,2007,78209
tfw,2008,110512
tfw,2009,112473
tfw,2010,92082
tfw,2011,81519
tfw,2012,86531
tfw,2013,103908
tfw,2014,93760
tfw,2015,59978
tfw,2016,51071
tfw,2017,46049
tfw,2018,56041
tfw,2019,73357
tfw,2020,76412
tfw,2021,81466
tfw,2022,119138
tfw,2023,187462
tfw,2024,236134
imp,2000,44130
imp,2001,46883
imp,2002,50391
imp,2003,54329
imp,2004,64449
imp,2005,73759
imp,2006,83542
imp,2007,92880
imp,2008,115700
imp,2009,139776
imp,2010,158819
imp,2011,197236
imp,2012,225932
imp,2013,253872
imp,2014,269103
imp,2015,261619
imp,2016,302218
imp,2017,335990
imp,2018,380934
imp,2019,453206
imp,2020,457804
imp,2021,430019
imp,2022,647247
imp,2023,1075378
imp,2024,1263150
pr,2015,271677
pr,2016,296278
pr,2017,286406
pr,2018,320871
pr,2019,340976
pr,2020,184461
pr,2021,405938
pr,2022,437517
pr,2023,471606
pr,2024,483500
pr,2025,246324
study,2015,228299
study,2016,276702
study,2017,328775
study,2018,368272
study,2019,413158
study,2020,272431
study,2021,462296
study,2022,568541
study,2023,701713
study,2024,532652
study,2025,174082
