province_territory,claim_office_type,total_flag,year_month,year,month,value
Newfoundland and Labrador,Airport,False,2015-01,2015,1,0
Nova Scotia,Airport,False,2015-01,2015,1,0
New Brunswick,Airport,False,2015-01,2015,1,0
Quebec,Airport,False,2015-01,2015,1,10
Ontario,Airport,False,2015-01,2015,1,65
Manitoba,Airport,False,2015-01,2015,1,0
Saskatchewan,Airport,False,2015-01,2015,1,0
Alberta,Airport,False,2015-01,2015,1,2
British Columbia,Airport,False,2015-01,2015,1,10
Nunavut,Airport,False,2015-01,2015,1,0
,Airport - Total,True,2015-01,2015,1,85
Newfoundland and Labrador,Border,False,2015-01,2015,1,0
Nova Scotia,Border,False,2015-01,2015,1,0
New Brunswick,Border,False,2015-01,2015,1,0
Quebec,Border,False,2015-01,2015,1,40
Ontario,Border,False,2015-01,2015,1,185
Manitoba,Border,False,2015-01,2015,1,0
Saskatchewan,Border,False,2015-01,2015,1,0
Alberta,Border,False,2015-01,2015,1,0
British Columbia,Border,False,2015-01,2015,1,10
Yukon,Border,False,2015-01,2015,1,0
,Border - Total,True,2015-01,2015,1,240
Newfoundland and Labrador,Inland,False,2015-01,2015,1,0
Prince Edward Island,Inland,False,2015-01,2015,1,0
Nova Scotia,Inland,False,2015-01,2015,1,0
New Brunswick,Inland,False,2015-01,2015,1,0
Quebec,Inland,False,2015-01,2015,1,130
Ontario,Inland,False,2015-01,2015,1,625
Manitoba,Inland,False,2015-01,2015,1,2
Saskatchewan,Inland,False,2015-01,2015,1,5
Alberta,Inland,False,2015-01,2015,1,45
British Columbia,Inland,False,2015-01,2015,1,40
Yukon,Inland,False,2015-01,2015,1,0
Northwest Territories,Inland,False,2015-01,2015,1,0
Nunavut,Inland,False,2015-01,2015,1,0
Province/Territory of claim not stated,Inland,False,2015-01,2015,1,0
,Inland - Total,True,2015-01,2015,1,845
,Other Offices,False,2015-01,2015,1,0
,Total ,True,2015-01,2015,1,1165
Newfoundland and Labrador,Airport,False,2015-02,2015,2,0
Nova Scotia,Airport,False,2015-02,2015,2,0
New Brunswick,Airport,False,2015-02,2015,2,0
Quebec,Airport,False,2015-02,2015,2,35
Ontario,Airport,False,2015-02,2015,2,160
Manitoba,Airport,False,2015-02,2015,2,0
Saskatchewan,Airport,False,2015-02,2015,2,0
Alberta,Airport,False,2015-02,2015,2,2
British Columbia,Airport,False,2015-02,2015,2,5
Nunavut,Airport,False,2015-02,2015,2,0
,Airport - Total,True,2015-02,2015,2,205
Newfoundland and Labrador,Border,False,2015-02,2015,2,0
Nova Scotia,Border,False,2015-02,2015,2,0
New Brunswick,Border,False,2015-02,2015,2,2
Quebec,Border,False,2015-02,2015,2,60
Ontario,Border,False,2015-02,2015,2,175
Manitoba,Border,False,2015-02,2015,2,2
Saskatchewan,Border,False,2015-02,2015,2,0
Alberta,Border,False,2015-02,2015,2,2
British Columbia,Border,False,2015-02,2015,2,10
Yukon,Border,False,2015-02,2015,2,0
,Border - Total,True,2015-02,2015,2,250
Newfoundland and Labrador,Inland,False,2015-02,2015,2,0
Prince Edward Island,Inland,False,2015-02,2015,2,0
Nova Scotia,Inland,False,2015-02,2015,2,0
New Brunswick,Inland,False,2015-02,2015,2,0
Quebec,Inland,False,2015-02,2015,2,100
Ontario,Inland,False,2015-02,2015,2,485
Manitoba,Inland,False,2015-02,2015,2,2
Saskatchewan,Inland,False,2015-02,2015,2,0
Alberta,Inland,False,2015-02,2015,2,60
British Columbia,Inland,False,2015-02,2015,2,45
Yukon,Inland,False,2015-02,2015,2,0
Northwest Territories,Inland,False,2015-02,2015,2,0
Nunavut,Inland,False,2015-02,2015,2,0
Province/Territory of claim not stated,Inland,False,2015-02,2015,2,0
,Inland - Total,True,2015-02,2015,2,690
,Other Offices,False,2015-02,2015,2,0
,Total ,True,2015-02,2015,2,1145
Newfoundland and Labrador,Airport,False,2015-03,2015,3,0
Nova Scotia,Airport,False,2015-03,2015,3,0
New Brunswick,Airport,False,2015-03,2015,3,0
Quebec,Airport,False,2015-03,2015,3,30
Ontario,Airport,False,2015-03,2015,3,165
Manitoba,Airport,False,2015-03,2015,3,0
Saskatchewan,Airport,False,2015-03,2015,3,0
Alberta,Airport,False,2015-03,2015,3,0
British Columbia,Airport,False,2015-03,2015,3,15
Nunavut,Airport,False,2015-03,2015,3,0
,Airport - Total,True,2015-03,2015,3,205
Newfoundland and Labrador,Border,False,2015-03,2015,3,0
Nova Scotia,Border,False,2015-03,2015,3,0
New Brunswick,Border,False,2015-03,2015,3,0
Quebec,Border,False,2015-03,2015,3,55
Ontario,Border,False,2015-03,2015,3,185
Manitoba,Border,False,2015-03,2015,3,2
