province_territory,category_1,category_2,category_3,total_flag,year,value
Newfoundland and Labrador,Agreements,Canada-International,Non-Trade,False,2000,0
Newfoundland and Labrador,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,90
Newfoundland and Labrador,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,5
Newfoundland and Labrador,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,2
Newfoundland and Labrador,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Newfoundland and Labrador,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Newfoundland and Labrador,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
Newfoundland and Labrador,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Newfoundland and Labrador,Agreements,Canada-International,Canada-Korea Free Trade Agreement (CKFTA),False,2000,0
Newfoundland and Labrador,Agreements,Canada-International,,True,2000,100
Newfoundland and Labrador,Agreements,Canada - Provincial/Territorial,,False,2000,0
Newfoundland and Labrador,Agreements,Other Agreements,,False,2000,55
Newfoundland and Labrador,Agreements,Provincial/Territorial - International,,False,2000,0
Newfoundland and Labrador,Agreements,,,True,2000,155
Newfoundland and Labrador,Canadian Interests,Significant benefit,,False,2000,100
Newfoundland and Labrador,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,2
Newfoundland and Labrador,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,2
Newfoundland and Labrador,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,30
Newfoundland and Labrador,Canadian Interests,Reciprocal Employment,,True,2000,35
Newfoundland and Labrador,Canadian Interests,"Research, educational or training programs",,False,2000,0
Newfoundland and Labrador,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,10
Newfoundland and Labrador,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,10
Newfoundland and Labrador,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,5
Newfoundland and Labrador,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,20
Newfoundland and Labrador,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Newfoundland and Labrador,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Newfoundland and Labrador,Canadian Interests,Competitiveness and public policy,,True,2000,50
Newfoundland and Labrador,Canadian Interests,Charitable or religious work,,False,2000,2
Newfoundland and Labrador,Canadian Interests,,,True,2000,190
Newfoundland and Labrador,Other IMP Participants,,,False,2000,2
Newfoundland and Labrador,Vulnerable workers,Vulnerable workers (subcategory),,False,2000,0
Newfoundland and Labrador,Vulnerable workers,,,True,2000,0
Newfoundland and Labrador,,,,True,2000,345
Prince Edward Island,Agreements,Canada-International,Non-Trade,False,2000,0
Prince Edward Island,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,20
Prince Edward Island,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,0
Prince Edward Island,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,0
Prince Edward Island,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Prince Edward Island,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Prince Edward Island,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Prince Edward Island,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
Prince Edward Island,Agreements,Canada-International,,True,2000,20
Prince Edward Island,Agreements,Canada - Provincial/Territorial,,False,2000,0
Prince Edward Island,Agreements,Other Agreements,,False,2000,2
Prince Edward Island,Agreements,Provincial/Territorial - International,,False,2000,0
Prince Edward Island,Agreements,,,True,2000,20
Prince Edward Island,Canadian Interests,Significant benefit,Entrepreneur/self-employed,False,2000,2
Prince Edward Island,Canadian Interests,Significant benefit,Intra-company transfers,False,2000,2
Prince Edward Island,Canadian Interests,Significant benefit,Emergency repairs,False,2000,0
Prince Edward Island,Canadian Interests,Significant benefit,Significant benefit - general,False,2000,0
Prince Edward Island,Canadian Interests,Significant benefit,Permanent Residence Applicants in Canada,False,2000,0
Prince Edward Island,Canadian Interests,Significant benefit,Bridging open work permits (BOWPs) OR Permanent resident facilitation work permit categories,False,2000,0
Prince Edward Island,Canadian Interests,Significant benefit,,True,2000,2
Prince Edward Island,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,25
Prince Edward Island,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,2
Prince Edward Island,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,2
Prince Edward Island,Canadian Interests,Reciprocal Employment,,True,2000,30
Prince Edward Island,Canadian Interests,"Research, educational or training programs",,False,2000,0
Prince Edward Island,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,2
Prince Edward Island,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,5
Prince Edward Island,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,2
Prince Edward Island,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,2
Prince Edward Island,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Prince Edward Island,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Prince Edward Island,Canadian Interests,Competitiveness and public policy,,True,2000,10
Prince Edward Island,Canadian Interests,Charitable or religious work,,False,2000,5
Prince Edward Island,Canadian Interests,,,True,2000,50
Prince Edward Island,Other IMP Participants,,,False,2000,2
Prince Edward Island,Vulnerable workers,Vulnerable workers (subcategory),,False,2000,0
Prince Edward Island,Vulnerable workers,,,True,2000,0
Prince Edward Island,,,,True,2000,70
Nova Scotia,Agreements,Canada-International,Non-Trade,False,2000,0
Nova Scotia,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,155
Nova Scotia,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,2
Nova Scotia,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,5
Nova Scotia,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Nova Scotia,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Nova Scotia,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Nova Scotia,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
Nova Scotia,Agreements,Canada-International,Canada-Korea Free Trade Agreement (CKFTA),False,2000,0
Nova Scotia,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
Nova Scotia,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
Nova Scotia,Agreements,Canada-International,,True,2000,160
Nova Scotia,Agreements,Canada - Provincial/Territorial,,False,2000,0
Nova Scotia,Agreements,Other Agreements,,False,2000,50
Nova Scotia,Agreements,Provincial/Territorial - International,,False,2000,0
Nova Scotia,Agreements,,,True,2000,210
Nova Scotia,Canadian Interests,Significant benefit,,False,2000,85
Nova Scotia,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,75
Nova Scotia,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,10
Nova Scotia,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,20
Nova Scotia,Canadian Interests,Reciprocal Employment,,True,2000,100
Nova Scotia,Canadian Interests,"Research, educational or training programs",,False,2000,0
Nova Scotia,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,5
Nova Scotia,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,30
Nova Scotia,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,30
Nova Scotia,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,70
Nova Scotia,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Nova Scotia,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Nova Scotia,Canadian Interests,Competitiveness and public policy,,True,2000,140
Nova Scotia,Canadian Interests,Charitable or religious work,,False,2000,25
Nova Scotia,Canadian Interests,,,True,2000,350
Nova Scotia,Other IMP Participants,,,False,2000,20
Nova Scotia,Vulnerable workers,Vulnerable workers (subcategory),,False,2000,0
Nova Scotia,Vulnerable workers,,,True,2000,0
Nova Scotia,,,,True,2000,585
New Brunswick,Agreements,Canada-International,Non-Trade,False,2000,0
New Brunswick,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,115
New Brunswick,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,2
New Brunswick,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,0
New Brunswick,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
New Brunswick,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
New Brunswick,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
New Brunswick,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
New Brunswick,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
New Brunswick,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
New Brunswick,Agreements,Canada-International,Canada-Panama Free Trade Agreement,False,2000,0
New Brunswick,Agreements,Canada-International,,True,2000,115
New Brunswick,Agreements,Canada - Provincial/Territorial,,False,2000,0
New Brunswick,Agreements,Other Agreements,,False,2000,30
New Brunswick,Agreements,Provincial/Territorial - International,,False,2000,0
New Brunswick,Agreements,,,True,2000,145
New Brunswick,Canadian Interests,Significant benefit,,False,2000,80
New Brunswick,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,10
New Brunswick,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,5
New Brunswick,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,10
New Brunswick,Canadian Interests,Reciprocal Employment,,True,2000,25
New Brunswick,Canadian Interests,"Research, educational or training programs",,False,2000,0
New Brunswick,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,5
New Brunswick,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,15
New Brunswick,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,20
New Brunswick,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,30
New Brunswick,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
New Brunswick,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
New Brunswick,Canadian Interests,Competitiveness and public policy,,True,2000,75
New Brunswick,Canadian Interests,Charitable or religious work,,False,2000,2
New Brunswick,Canadian Interests,,,True,2000,180
New Brunswick,Other IMP Participants,,,False,2000,35
New Brunswick,Vulnerable workers,Vulnerable workers (subcategory),,False,2000,0
New Brunswick,Vulnerable workers,,,True,2000,0
New Brunswick,,,,True,2000,360
Quebec,Agreements,Canada-International,Non-Trade,False,2000,0
Quebec,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,1090
Quebec,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,45
Quebec,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,35
Quebec,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Quebec,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Quebec,Agreements,Canada-International,Canada-Korea Free Trade Agreement (CKFTA),False,2000,0
Quebec,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
Quebec,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Quebec,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
Quebec,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
Quebec,Agreements,Canada-International,Canada-Panama Free Trade Agreement,False,2000,0
Quebec,Agreements,Canada-International,Canada-Ukraine Free Trade Agreement (CUFTA),False,2000,0
Quebec,Agreements,Canada-International,,True,2000,1170
Quebec,Agreements,Canada - Provincial/Territorial,,False,2000,0
Quebec,Agreements,Other Agreements,,False,2000,500
Quebec,Agreements,Provincial/Territorial - International,,False,2000,0
Quebec,Agreements,,,True,2000,1670
Quebec,Canadian Interests,Significant benefit,,False,2000,1910
Quebec,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,415
Quebec,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,85
Quebec,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,415
Quebec,Canadian Interests,Reciprocal Employment,,True,2000,915
Quebec,Canadian Interests,"Research, educational or training programs",,False,2000,0
